"No.","Time","Source","Destination","Protocol","Length","Info"
"234","8.003805","13.64.240.209","192.168.15.130","TLSv1.2","342","Application Data"
"235","8.004874","192.168.15.130","13.64.240.209","TLSv1.2","96","Application Data"
"236","8.007379","192.168.15.130","13.64.240.209","TLSv1.2","221","Application Data"
"237","8.054865","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"238","8.081410","63.251.239.51","192.168.15.130","UDP","91","22426  >  63821 Len=49"
"239","8.081807","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"240","8.186482","13.64.240.209","192.168.15.130","TCP","60","443  >  49881 [ACK] Seq=289 Ack=210 Win=2048 Len=0"
"241","8.233631","192.168.15.130","34.199.186.137","TLSv1.2","603","Application Data"
"242","8.233698","192.168.15.130","34.199.186.137","TLSv1.2","615","Application Data"
"243","8.237432","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"244","8.338914","34.199.186.137","192.168.15.130","TCP","60","443  >  50175 [ACK] Seq=313 Ack=1924 Win=248 Len=0"
"245","8.345163","34.199.186.137","192.168.15.130","TLSv1.2","330","Application Data"
"246","8.384463","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"247","8.390225","192.168.15.130","34.199.186.137","TCP","54","50175  >  443 [ACK] Seq=1924 Ack=589 Win=513 Len=0"
"248","8.552240","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"249","8.638762","63.251.239.51","192.168.15.130","UDP","98","22426  >  63821 Len=56"
"250","8.639173","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"251","8.707993","63.251.239.51","192.168.15.130","UDP","81","22426  >  63821 Len=39"
"252","8.708435","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"253","8.729017","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"254","8.732794","192.168.15.130","63.251.239.51","UDP","74","63821  >  22426 Len=32"
"255","8.736766","192.168.15.130","63.251.239.51","UDP","88","63821  >  22426 Len=46"
"256","8.844040","63.251.239.51","192.168.15.130","UDP","89","22426  >  63821 Len=47"
"257","8.844474","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"258","8.845326","63.251.239.51","192.168.15.130","UDP","75","22426  >  63821 Len=33"
"259","8.847680","63.251.239.51","192.168.15.130","UDP","75","22426  >  63821 Len=33"
"260","9.009688","192.168.15.130","179.184.214.195","TCP","54","[TCP Retransmission] 50046  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1020 Len=0"
"261","9.016432","63.251.239.51","192.168.15.130","UDP","221","22426  >  63821 Len=179"
"262","9.017016","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"263","9.230226","63.251.239.51","192.168.15.130","UDP","746","22426  >  63821 Len=704"
"264","9.231754","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"265","9.235353","63.251.239.51","192.168.15.130","UDP","714","22426  >  63821 Len=672"
"266","9.236892","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"267","9.368951","192.168.15.1","192.168.15.130","ICMP","98","Echo (ping) request  id=0x3a9e, seq=0/0, ttl=64 (reply in 268)"
"268","9.369030","192.168.15.130","192.168.15.1","ICMP","98","Echo (ping) reply    id=0x3a9e, seq=0/0, ttl=128 (request in 267)"
"269","9.461643","Tellesco_96:4d:c0","Broadcast","ARP","60","Who has 192.168.15.149? Tell 192.168.15.1"
"270","9.599312","63.251.239.51","192.168.15.130","UDP","739","22426  >  63821 Len=697"
"271","9.600987","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"272","9.736831","192.168.15.130","63.251.239.51","UDP","74","63821  >  22426 Len=32"
"273","9.848028","63.251.239.51","192.168.15.130","UDP","75","22426  >  63821 Len=33"
"274","10.400848","192.168.15.1","224.0.0.1","IGMPv2","60","Membership Query, general"
"275","10.401604","fe80::96ea:eaff:fe96:4dc0","ff02::1","ICMPv6","90","Multicast Listener Query"
"276","10.401715","fe80::ddc8:2cc6:e88:26dd","ff02::16","ICMPv6","190","Multicast Listener Report Message v2"
"277","10.408054","fe80::a2d0:dcff:fe1c:21cc","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"278","10.461618","Tellesco_96:4d:c0","Broadcast","ARP","60","Who has 192.168.15.149? Tell 192.168.15.1"
"279","10.463306","fe80::4f0:91ff:fe70:9e9d","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"280","10.467738","fe80::5858:c7ff:fe17:35ac","ff02::16","ICMPv6","170","Multicast Listener Report Message v2"
"281","10.478619","fe80::1435:90ff:fe2a:ac7c","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"282","10.526137","63.251.239.51","192.168.15.130","UDP","210","22426  >  63821 Len=168"
"283","10.526773","192.168.15.130","63.251.239.51","UDP","75","63821  >  22426 Len=33"
"284","10.678239","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
"285","10.736867","192.168.15.130","63.251.239.51","UDP","74","63821  >  22426 Len=32"
"286","10.844579","192.168.15.130","239.255.255.250","IGMPv2","46","Membership Report group 239.255.255.250"
"287","10.844604","192.168.15.130","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"288","10.844620","192.168.15.130","224.0.0.252","IGMPv2","46","Membership Report group 224.0.0.252"
"289","10.849481","63.251.239.51","192.168.15.130","UDP","94","22426  >  63821 Len=52"
